,Values
NAV,"8,664.19"
Open Price,"8,550.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,7.0 / 14.6
Day Range,"8,550.00 – 8,585.00"
Year Range,"8,550.00 – 10,110.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.400%
Total Assets,6.2 Bil
