,Fund,Category,Index
U.S.Stock,—,25.53,51.35
Non-U.S.Stock,—,53.43,48.65
Bonds,—,0.00,0.00
Other,—,0.00,0.00
Cash,—,50.08,0.00
Not Classified,—,0.02,0.00
