Sectors,Fund %,Category %
Basic Materials,4.33,41.47
Consumer Cyclical,0.25,9.12
Financial Services,1.17,3.43
Real Estate,0.00,0.11
Communication Services,0.00,1.43
Energy,0.00,2.87
Industrials,75.34,19.64
Technology,17.65,14.78
Consumer Defensive,1.26,3.91
Healthcare,0.00,2.14
Utilities,0.00,1.10
