,Fund,Cat. Average,Index
Price/Earnings ,9.80,13.31,—
Price/Book ,0.84,0.99,—
Price/Sales ,0.26,0.52,—
Price/Cash Flow ,2.52,3.85,—
Dividend Yield % ,1.98,2.16,—
Long-Term Earnings % ,11.37,15.19,—
Historical Earnings % ,2.24,35.81,—
Sales Growth % ,-6.71,2.99,—
Cash-Flow Growth % ,-14.93,2.81,—
Book-Value Growth % ,-3.87,1.55,—
