,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-5.56
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-4.03
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,0.75
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-6.22
Percentile Rank,—,—,—,—,—,—,—,—,—,—,47
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,325"
