,Values
NAV,"19,700.61"
Open Price,"19,560.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"65,001.0 / 81,874.7"
Day Range,"19,480.00 – 19,620.00"
Year Range,"17,700.00 – 22,505.00"
SEC Yield ,—
12-Month Yield ,1.32%
Premium ,—
Expense Ratio,0.430%
Total Assets,212.4 Bil
