,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,14.90,14.10,3.12,-10.70,17.58,48.74,-20.04,4.95
Fund (NAV),—,—,—,15.33,14.96,2.88,-11.07,17.91,48.46,-19.97,6.03
+/ Category (NAV),—,—,—,6.20,4.49,0.74,-1.83,3.91,13.82,-6.53,-9.81
+/- Index (Price),—,—,—,0.91,-13.17,-10.36,-12.77,4.86,7.84,-12.68,-15.62
Percentile Rank,—,—,—,1,17,20,64,25,1,76,85
# of Funds in Category,—,—,25,27,25,26,26,25,58,243,370
