,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.09,1.51,-5.55,-1.72,4.95,-7.43,10.45,5.01,—,—,—
Total Return % (NAV),1.06,-0.29,-4.78,-2.24,6.03,-7.37,10.81,5.50,—,—,5.26
+/- Category (NAV),1.25,0.17,-1.85,-0.11,-9.81,-4.03,4.42,3.41,—,—,—
+/- Index (NAV),1.92,-1.81,-0.59,-2.09,-14.54,-9.07,-6.28,-8.03,—,—,—
