,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,41.01,69.52
Non-U.S.Stock,99.86,0.00,99.86,46.12,30.48
Bonds,0.00,0.00,0.00,0.01,0.00
Other,0.00,0.00,0.00,0.52,0.00
Cash,0.14,1.16,1.30,32.42,0.00
Not Classified,0.00,0.00,0.00,0.04,0.00
