,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.06,1.19,6.70,8.15,17.23,—,—,—,—,—,—
Total Return % (NAV),0.28,0.74,5.37,7.92,15.78,—,—,—,—,—,18.14
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
