,Values
NAV,"11,778.89"
Open Price,"11,725.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"32,364.0 / 9,685.2"
Day Range,"11,725.00 – 11,815.00"
Year Range,"9,895.00 – 12,025.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.350%
Total Assets,5.9 Bil
