,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,101.33,0.00,101.33,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,-1.33,8.66,7.33,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
