,Values
NAV,"129,946.64"
Open Price,"129,845.00"
Bid / Ask / Spread,"129,920.00 / 0.00 / 0.00%"
Volume / Avg,"3,338.0 / 12,033.7"
Day Range,"129,720.00 – 129,955.00"
Year Range,"117,820.00 – 130,855.00"
SEC Yield ,—
12-Month Yield ,1.95%
Premium ,—
Expense Ratio,0.180%
Total Assets,72.8 Bil
