,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,7.26,0.61,11.07,6.53,1.65,-1.41,6.74,6.98
Fund (NAV),—,—,—,7.34,0.49,11.33,6.62,1.48,-1.10,6.60,6.69
+/ Category (NAV),—,—,—,3.45,-1.34,7.05,3.89,0.18,-1.52,3.57,3.73
+/- Index (Price),—,—,—,1.53,-1.65,4.40,2.24,-0.12,-2.05,2.01,1.69
Percentile Rank,—,—,—,1,95,1,1,33,99,1,2
# of Funds in Category,—,—,240,245,257,276,329,366,449,545,717
