,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.80,0.00,199.80,620.20,—
Bonds,8.75,0.00,8.75,8.78,—
Other,0.02,0.00,0.02,3.73,—
Cash,-108.56,184.16,75.60,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
