,Fund,Cat. Average,Index
Price/Earnings ,9.04,11.87,—
Price/Book ,0.88,1.05,—
Price/Sales ,0.58,0.73,—
Price/Cash Flow ,3.67,3.83,—
Dividend Yield % ,3.03,2.61,—
Long-Term Earnings % ,13.62,7.31,—
Historical Earnings % ,13.58,8.40,—
Sales Growth % ,2.43,8.94,—
Cash-Flow Growth % ,8.94,7.00,—
Book-Value Growth % ,6.37,9.61,—
