,Values
NAV,"8,032.56"
Open Price,"7,865.00"
Bid / Ask / Spread,"7,945.00 / 8,000.00 / 0.69%"
Volume / Avg,"349,100.0 / 613,764.9"
Day Range,"7,800.00 – 7,940.00"
Year Range,"7,770.00 – 11,355.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.110%
Total Assets,112.5 Bil
