,Values
NAV,"105,505.72"
Open Price,"105,575.00"
Bid / Ask / Spread,"0.00 / 116,150.00 / 0.00%"
Volume / Avg,"49,258.0 / 7,672.4"
Day Range,"105,460.00 – 105,665.00"
Year Range,"102,150.00 – 105,665.00"
SEC Yield ,—
12-Month Yield ,0.86%
Premium ,—
Expense Ratio,0.180%
Total Assets,86.5 Bil
