,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,5.24,3.00,4.75,2.59,3.22,1.35,3.78,3.29
Fund (NAV),—,—,—,5.28,3.03,4.87,2.63,3.22,1.41,3.77,3.21
+/ Category (NAV),—,—,—,1.09,0.24,1.10,0.19,1.34,1.90,0.87,1.09
+/- Index (Price),—,—,—,-0.69,0.02,-1.21,-0.74,0.92,-0.22,-0.50,-1.07
Percentile Rank,—,—,—,1,6,1,25,1,60,1,5
# of Funds in Category,—,—,23,22,18,17,29,32,66,87,114
