Sectors,Fund %,Category %
Basic Materials,10.13,8.70
Consumer Cyclical,28.48,13.65
Financial Services,18.76,11.56
Real Estate,0.00,0.29
Communication Services,5.49,2.34
Energy,3.90,1.96
Industrials,6.77,10.46
Technology,10.83,38.20
Consumer Defensive,11.55,6.64
Healthcare,0.00,4.97
Utilities,4.09,1.23
