,Fund,Cat. Average,Index
Price/Earnings ,10.13,11.02,12.13
Price/Book ,0.67,0.84,0.86
Price/Sales ,0.46,0.53,0.65
Price/Cash Flow ,4.22,3.46,3.66
Dividend Yield % ,3.21,3.08,3.48
Long-Term Earnings % ,8.95,10.07,3.69
Historical Earnings % ,6.59,15.26,14.88
Sales Growth % ,5.30,11.25,4.89
Cash-Flow Growth % ,0.92,16.83,15.05
Book-Value Growth % ,4.57,10.86,8.56
