,Values
Sustainability Rate,Below Average
Percent Rank in Global Category,79%
Historical Sustainability Score,40.02
Global Category,Korea Equity
Portfolio ESG,45.30
Controversy Deduction,5.20
Sustainability Score,40.10
Sustainability Mandate,No
