ETF Name,Code,Quote,Trailing Return,Growth 10000,Risk,Asset Allocations,Sectors,StockStyle,Sustainability,Holdings
TIGER_200_Industrials,227550,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_200_IT,139260,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_200_IT_Leverage,243880,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_200_Steels,139240,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
Tiger_200_Total_Return,310960,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Agriculture,137610,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Banks_ETF,091220,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Beta_Plus,170350,20190814,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_C200,166400,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_China,117690,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_China_A300,192090,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_China_Consumer,150460,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_China_H-Share,245360,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Consumer_Goods_Balanced,237440,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Contrarian,217790,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Cosmetics,228790,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_DIV_Growth,211560,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Dow_Jones_30,245340,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_EURO_STOXX_Dividend_30,245350,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Gold&Silver,139320,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Gold_Futures_(H),319640,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_Healthcare_Equip,307510,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_Health_Care,143860,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_High_Dividend,210780,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Holdings_Company,307520,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Hyundai_Group+,138540,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Inverse,123310,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_JPYKRW_Futures_ETF,292560,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_JPYKRW_Futures_Inverse_2X_ETF,292590,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_JPYKRW_Futures_Inverse_ETF,292580,20190814,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_JPYKRW_Futures_Leverage_ETF,292570,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_K-Game_ETF,300610,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KOSDAQ150,232080,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_KOSDAQ150_Biotech,261070,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KOSDAQ150_Inverse,250780,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KOSDAQ150_IT,261060,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KOSDAQ150_Leverage,233160,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_KOSDAQ150_Low_Vol,267300,20190814,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KOSPI,277630,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KOSPI_Largecap,277640,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KOSPI_Midcap,277650,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KRX100_ETF,091210,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_KRX300_ETF,292160,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KRX300_Futures_Inverse,307620,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KRX300_Leverage,307610,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_KTB3Y,114820,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_KTB_10Y_Futures_Inverse,302180,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KTB_3-10,302190,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KTB_3-10_Futures_Inverse,302200,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KTB_3-10_Futures_Inverse_2X,302210,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KTB_3Y_Futures_Inverse,302170,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_KTOP30,228820,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Large_Growth_ETF,292100,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Large_Value_ETF,292110,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Latin,105010,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Leverage,123320,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_LG_GROUP+,138530,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Media&Telecom,098560,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Media_Contents,228810,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20180831,20190430
TIGER_Metal,139310,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Mid_Small_ETF,292120,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Mid_Small_Growth_ETF,292130,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Mid_Small_Value_ETF,292140,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Momentum,147970,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Money_Market,157450,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Money_Market_Active,272580,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_MSCI_Korea_ESG_Leaders_ETF,289260,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_MSCI_Korea_ESG_Universal_ETF,289250,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
