ticker,cik,filename
SBGI,0000912057,0000912057-01-505830.txt
SBGI,0000912057,0000912057-01-505830.txt
SBGI,0001005150,0001005150-00-000436.txt
SBGI,0001005150,0001005150-97-000253.txt
SBGI,0001005150,0001005150-97-000272.txt
SBGI,0001104659,0001104659-02-001206.txt
SBGI,0001104659,0001104659-04-005951.txt
SBGI,0001005150,0001005150-00-000436.txt
SBGI,0001005150,0001005150-97-000253.txt
SBGI,0001005150,0001005150-97-000272.txt
SBGI,0001104659,0001104659-02-001206.txt
SBGI,0001104659,0001104659-04-005951.txt
