,Values
NAV,"13,214.39"
Open Price,"13,000.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"14,133.0 / 10,171.9"
Day Range,"13,000.00 – 13,145.00"
Year Range,"9,110.00 – 14,900.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.640%
Total Assets,9.3 Bil
