,Values
Sustainability Rate,High
Percent Rank in Global Category,10%
Historical Sustainability Score,52.59
Global Category,Technology Sector Equity
Portfolio ESG,55.94
Controversy Deduction,3.35
Sustainability Score,52.59
Sustainability Mandate,No
