,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-2.42,35.42
Fund (NAV),—,—,—,—,—,—,—,—,—,-2.04,36.14
+/ Category (NAV),—,—,—,—,—,—,—,—,—,11.40,20.29
+/- Index (Price),—,—,—,—,—,—,—,—,—,4.95,14.85
Percentile Rank,—,—,—,—,—,—,—,—,—,10,6
# of Funds in Category,—,—,—,—,—,—,—,—,58,243,370
