,Fund,Cat. Average,Index
Price/Earnings ,19.35,17.17,20.64
Price/Book ,4.63,2.04,3.84
Price/Sales ,4.00,1.37,2.36
Price/Cash Flow ,11.14,7.78,11.93
Dividend Yield % ,1.28,1.69,1.48
Long-Term Earnings % ,11.81,8.11,10.45
Historical Earnings % ,24.07,12.12,18.19
Sales Growth % ,12.12,7.65,8.61
Cash-Flow Growth % ,22.95,13.49,16.51
Book-Value Growth % ,7.05,7.62,8.68
