,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.36,-1.06,-2.39,2.19,35.16,15.64,—,—,—,—,—
Total Return % (NAV),2.34,3.68,0.36,7.88,37.95,17.81,—,—,—,—,18.96
+/- Category (NAV),1.29,1.74,3.08,7.57,21.80,19.53,—,—,—,—,—
+/- Index (NAV),2.84,6.90,6.30,8.31,19.09,16.02,—,—,—,—,—
