,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.86,-4.04,-13.18,-14.21,-13.24,—,—,—,—,—,—
Total Return % (NAV),-0.47,-2.92,-12.27,-13.30,-12.67,—,—,—,—,—,-13.03
+/- Category (NAV),-0.55,-1.99,-4.40,-9.05,-15.52,—,—,—,—,—,—
+/- Index (NAV),-0.44,0.70,-3.87,-10.07,-19.89,—,—,—,—,—,—
