Sectors,Fund %,Category %
Basic Materials,0.00,0.00
Consumer Cyclical,0.38,0.39
Financial Services,98.68,96.29
Real Estate,0.38,0.92
Communication Services,0.00,0.00
Energy,0.00,0.00
Industrials,0.00,1.52
Technology,0.55,0.86
Consumer Defensive,0.00,0.01
Healthcare,0.00,0.00
Utilities,0.00,0.00
