,Fund,Cat. Average,Index
Price/Earnings ,6.57,9.59,11.73
Price/Book ,0.54,0.96,1.24
Price/Sales ,0.66,1.50,1.80
Price/Cash Flow ,2.18,5.09,4.08
Dividend Yield % ,4.63,3.35,3.31
Long-Term Earnings % ,7.12,9.32,7.95
Historical Earnings % ,12.35,3.83,7.07
Sales Growth % ,6.06,3.64,-0.86
Cash-Flow Growth % ,-23.61,9.11,-41.07
Book-Value Growth % ,5.63,2.07,1.63
