,Values
NAV,"8,731.25"
Open Price,"8,670.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,44.0 / 49.7
Day Range,"8,600.00 – 8,690.00"
Year Range,"8,600.00 – 10,940.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.450%
Total Assets,4.2 Bil
