,Values
NAV,"9,513.91"
Open Price,"9,605.00"
Bid / Ask / Spread,"9,495.00 / 9,500.00 / 0.05%"
Volume / Avg,17.5 Mil / 19.4 Mil
Day Range,"9,505.00 – 9,645.00"
Year Range,"6,030.00 – 10,430.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.670%
Total Assets,204.5 Bil
