,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-101.05,101.05,0.00,5.39,—
Bonds,23.43,0.00,23.43,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,177.62,0.42,178.04,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
