,Values
NAV,"7,415.85"
Open Price,"7,355.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,5.0 / 55.6
Day Range,"7,345.00 – 7,380.00"
Year Range,"7,100.00 – 9,895.00"
SEC Yield ,—
12-Month Yield ,0.77%
Premium ,—
Expense Ratio,0.500%
Total Assets,3.3 Bil
