,Fund,Cat. Average,Index
Price/Earnings ,13.94,11.02,12.13
Price/Book ,1.89,0.84,0.86
Price/Sales ,1.13,0.53,0.65
Price/Cash Flow ,8.68,3.46,3.66
Dividend Yield % ,1.46,3.08,3.48
Long-Term Earnings % ,23.43,10.07,3.69
Historical Earnings % ,6.37,15.26,14.88
Sales Growth % ,-5.41,11.25,4.89
Cash-Flow Growth % ,-25.16,16.83,15.05
Book-Value Growth % ,5.92,10.86,8.56
