Sectors,Fund %,Category %
Basic Materials,9.69,8.70
Consumer Cyclical,20.74,13.65
Financial Services,1.77,11.56
Real Estate,0.71,0.29
Communication Services,1.03,2.34
Energy,1.00,1.96
Industrials,6.43,10.46
Technology,35.52,38.20
Consumer Defensive,7.96,6.64
Healthcare,15.16,4.97
Utilities,0.00,1.23
