,Values
NAV,"12,354.81"
Open Price,"13,000.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"25,153.0 / 3,452.8"
Day Range,"12,695.00 – 13,000.00"
Year Range,"8,480.00 – 13,000.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.770%
Total Assets,8.6 Bil
