,Values
NAV,"7,728.97"
Open Price,"7,735.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,443.0 / 29,485.5"
Day Range,"7,700.00 – 7,740.00"
Year Range,"7,645.00 – 9,355.00"
SEC Yield ,—
12-Month Yield ,4.61%
Premium ,—
Expense Ratio,0.360%
Total Assets,56.4 Bil
