,Fund,Cat. Average,Index
Price/Earnings ,8.69,11.02,12.13
Price/Book ,0.66,0.84,0.86
Price/Sales ,0.34,0.53,0.65
Price/Cash Flow ,3.10,3.46,3.66
Dividend Yield % ,4.02,3.08,3.48
Long-Term Earnings % ,7.20,10.07,3.69
Historical Earnings % ,-4.73,15.26,14.88
Sales Growth % ,5.24,11.25,4.89
Cash-Flow Growth % ,10.12,16.83,15.05
Book-Value Growth % ,5.39,10.86,8.56
