,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-12.51,-8.87
Fund (NAV),—,—,—,—,—,—,—,—,—,-12.35,-8.05
+/ Category (NAV),—,—,—,—,—,—,—,—,—,4.33,-3.28
+/- Index (Price),—,—,—,—,—,—,—,—,—,5.12,-9.54
Percentile Rank,—,—,—,—,—,—,—,—,—,12,86
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,325"
