,Fund,Cat. Average,Index
Price/Earnings ,9.33,11.87,—
Price/Book ,0.94,1.05,—
Price/Sales ,0.63,0.73,—
Price/Cash Flow ,3.83,3.83,—
Dividend Yield % ,2.83,2.61,—
Long-Term Earnings % ,14.50,7.31,—
Historical Earnings % ,13.00,8.40,—
Sales Growth % ,2.55,8.94,—
Cash-Flow Growth % ,8.01,7.00,—
Book-Value Growth % ,6.74,9.61,—
