,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.27,-0.37,-15.47,-15.20,-12.12,—,—,—,—,—,—
Total Return % (NAV),0.25,-1.02,-13.79,-15.63,-10.35,—,—,—,—,—,-18.31
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
