,Values
NAV,"8,108.79"
Open Price,"8,120.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,556.0 / 7,443.0"
Day Range,"8,060.00 – 8,170.00"
Year Range,"7,880.00 – 11,150.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.590%
Total Assets,8.1 Bil
