,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.96,0.00,199.96,620.20,—
Bonds,10.49,0.00,10.49,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-110.46,114.45,3.99,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
