,Fund,Cat. Average,Index
Price/Earnings ,9.48,11.87,—
Price/Book ,0.85,1.05,—
Price/Sales ,0.23,0.73,—
Price/Cash Flow ,5.50,3.83,—
Dividend Yield % ,2.93,2.61,—
Long-Term Earnings % ,14.90,7.31,—
Historical Earnings % ,3.29,8.40,—
Sales Growth % ,13.33,8.94,—
Cash-Flow Growth % ,-23.89,7.00,—
Book-Value Growth % ,8.15,9.61,—
