,Fund,Cat. Average,Index
Price/Earnings ,18.38,10.08,10.07
Price/Book ,2.66,1.04,0.93
Price/Sales ,2.06,0.61,0.40
Price/Cash Flow ,8.87,4.44,2.91
Dividend Yield % ,0.62,1.71,2.01
Long-Term Earnings % ,25.11,9.55,10.86
Historical Earnings % ,3.70,2.73,0.53
Sales Growth % ,-3.38,-1.44,-3.08
Cash-Flow Growth % ,-22.90,-10.31,-9.25
Book-Value Growth % ,9.18,6.21,2.39
