Sectors,Fund %,Category %
Basic Materials,5.04,9.15
Consumer Cyclical,12.67,17.36
Financial Services,0.62,6.02
Real Estate,0.00,1.52
Communication Services,0.26,0.59
Energy,0.33,0.85
Industrials,7.92,14.91
Technology,24.70,23.36
Consumer Defensive,4.14,7.26
Healthcare,44.21,18.74
Utilities,0.09,0.24
