,Values
NAV,"8,549.85"
Open Price,"8,420.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"17,913.0 / 294,129.1"
Day Range,"8,360.00 – 8,490.00"
Year Range,"7,840.00 – 14,395.00"
SEC Yield ,—
12-Month Yield ,0.96%
Premium ,—
Expense Ratio,0.210%
Total Assets,158.9 Bil
