,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-17.09,-27.94
Fund (NAV),—,—,—,—,—,—,—,—,—,-16.34,-27.27
+/ Category (NAV),—,—,—,—,—,—,—,—,—,1.80,-17.84
+/- Index (Price),—,—,—,—,—,—,—,—,—,-5.20,-12.88
Percentile Rank,—,—,—,—,—,—,—,—,—,40,99
# of Funds in Category,—,—,—,—,—,—,—,—,272,369,476
