,Fund,Cat. Average,Index
Price/Earnings ,8.76,11.02,12.13
Price/Book ,0.87,0.84,0.86
Price/Sales ,0.61,0.53,0.65
Price/Cash Flow ,3.67,3.46,3.66
Dividend Yield % ,3.02,3.08,3.48
Long-Term Earnings % ,13.37,10.07,3.69
Historical Earnings % ,14.10,15.26,14.88
Sales Growth % ,4.38,11.25,4.89
Cash-Flow Growth % ,10.37,16.83,15.05
Book-Value Growth % ,7.34,10.86,8.56
