,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),43.33,24.29,-9.86,10.34,3.77,-8.05,-0.24,6.96,28.29,-16.60,-1.88
Fund (NAV),51.07,24.24,-10.35,10.87,3.84,-8.35,-0.08,7.18,28.15,-16.62,-1.36
+/ Category (NAV),-4.32,1.28,0.36,3.89,2.74,-3.27,-4.10,6.49,5.67,0.06,3.51
+/- Index (Price),-16.95,2.07,-1.29,-3.99,1.24,-0.90,2.58,-6.86,-3.95,1.03,-2.37
Percentile Rank,47,33,39,20,20,72,68,22,12,38,9
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
