,Values
NAV,"11,442.30"
Open Price,"11,380.00"
Bid / Ask / Spread,"11,360.00 / 11,390.00 / 0.26%"
Volume / Avg,"25,110.0 / 528.7"
Day Range,"11,325.00 – 11,380.00"
Year Range,"11,285.00 – 13,250.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.400%
Total Assets,18.3 Bil
