,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,92.14,0.00,92.14,95.78,99.99
Bonds,0.02,0.00,0.02,0.20,0.00
Other,0.01,0.00,0.01,0.80,0.00
Cash,7.83,0.09,7.92,3.21,0.00
Not Classified,0.00,0.00,0.00,1.64,0.01
