,Values
Sustainability Rate,High
Percent Rank in Global Category,9%
Historical Sustainability Score,42.80
Global Category,Korea Equity
Portfolio ESG,51.61
Controversy Deduction,8.42
Sustainability Score,43.19
Sustainability Mandate,No
