,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.00,-0.18,-6.86,-4.02,-3.78,-11.59,1.58,1.33,—,—,—
Total Return % (NAV),0.74,1.07,-5.97,-3.85,-3.83,-10.76,2.01,1.55,—,—,1.68
+/- Category (NAV),-0.03,-0.41,1.13,2.93,1.04,2.13,3.05,2.52,—,—,—
+/- Index (NAV),0.74,-0.18,0.23,-0.14,-4.32,-0.97,-2.36,-0.87,—,—,—
