Sectors,Fund %,Category %
Basic Materials,0.00,2.58
Consumer Cyclical,18.91,14.19
Financial Services,1.84,12.88
Real Estate,0.00,1.61
Communication Services,4.28,2.20
Energy,0.00,2.69
Industrials,4.01,10.51
Technology,57.25,26.91
Consumer Defensive,6.01,7.87
Healthcare,7.37,17.22
Utilities,0.34,1.36
