,Net,Short,Long,Cat.,Index
U.S.Stock,97.70,0.00,97.70,84.55,98.92
Non-U.S.Stock,2.60,0.00,2.60,1.41,1.08
Bonds,0.00,0.00,0.00,1.68,0.00
Other,0.00,0.00,0.00,0.57,0.00
Cash,-0.30,4.98,4.68,77.20,0.00
Not Classified,0.00,0.00,0.00,0.57,0.00
