,Values
Sustainability Rate,Average
Percent Rank in Global Category,33%
Historical Sustainability Score,46.56
Global Category,US Equity Large Cap Growth
Portfolio ESG,55.40
Controversy Deduction,8.12
Sustainability Score,47.28
Sustainability Mandate,No
