,Values
NAV,"41,966.04"
Open Price,"41,000.00"
Bid / Ask / Spread,"41,065.00 / 0.00 / 0.00%"
Volume / Avg,"20,397.0 / 22,340.3"
Day Range,"40,655.00 – 41,065.00"
Year Range,"29,820.00 – 42,500.00"
SEC Yield ,—
12-Month Yield ,0.78%
Premium ,—
Expense Ratio,0.640%
Total Assets,71.3 Bil
