,Fund,Cat. Average,Index
Price/Earnings ,10.92,12.50,9.92
Price/Book ,1.50,1.82,1.26
Price/Sales ,1.28,1.42,1.10
Price/Cash Flow ,5.37,6.00,3.71
Dividend Yield % ,2.86,2.83,3.51
Long-Term Earnings % ,11.03,9.55,8.64
Historical Earnings % ,7.36,13.10,9.92
Sales Growth % ,9.22,10.48,9.83
Cash-Flow Growth % ,12.47,16.38,10.51
Book-Value Growth % ,10.63,9.29,8.65
