,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,63.44,4.89,-11.44,24.56,-21.29,33.88
Fund (NAV),—,—,—,—,—,63.95,4.68,-10.85,24.85,-21.44,33.83
+/ Category (NAV),—,—,—,—,—,42.98,1.72,-1.61,-6.61,0.18,16.62
+/- Index (Price),—,—,—,—,—,54.33,7.18,-20.88,-10.81,-10.47,27.95
Percentile Rank,—,—,—,—,—,1,38,53,71,47,8
# of Funds in Category,—,—,—,—,391,422,526,636,734,890,923
