,Values
NAV,"16,411.81"
Open Price,"16,220.00"
Bid / Ask / Spread,"15,370.00 / 16,390.00 / 6.42%"
Volume / Avg,"8,143.0 / 11,540.0"
Day Range,"16,220.00 – 16,515.00"
Year Range,"12,025.00 – 18,000.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.880%
Total Assets,37.7 Bil
